fecha_ID;fecha;mes;nombre_Mes;anio;trimestre;dia_Semana;nombre_Dia
20230801;2023-08-01;8;Agosto;2023;3;2;Martes
20230802;2023-08-02;8;Agosto;2023;3;3;Miércoles
20230803;2023-08-03;8;Agosto;2023;3;4;Jueves
20230804;2023-08-04;8;Agosto;2023;3;5;Viernes
20230805;2023-08-05;8;Agosto;2023;3;6;Sábado
20230806;2023-08-06;8;Agosto;2023;3;7;Domingo
20230807;2023-08-07;8;Agosto;2023;3;1;Lunes
20230808;2023-08-08;8;Agosto;2023;3;2;Martes
20230809;2023-08-09;8;Agosto;2023;3;3;Miércoles
20230810;2023-08-10;8;Agosto;2023;3;4;Jueves
20230811;2023-08-11;8;Agosto;2023;3;5;Viernes
20230812;2023-08-12;8;Agosto;2023;3;6;Sábado
20230813;2023-08-13;8;Agosto;2023;3;7;Domingo
20230814;2023-08-14;8;Agosto;2023;3;1;Lunes
20230815;2023-08-15;8;Agosto;2023;3;2;Martes
20230816;2023-08-16;8;Agosto;2023;3;3;Miércoles
20230817;2023-08-17;8;Agosto;2023;3;4;Jueves
20230818;2023-08-18;8;Agosto;2023;3;5;Viernes
20230819;2023-08-19;8;Agosto;2023;3;6;Sábado
20230820;2023-08-20;8;Agosto;2023;3;7;Domingo
20230821;2023-08-21;8;Agosto;2023;3;1;Lunes
20230822;2023-08-22;8;Agosto;2023;3;2;Martes
20230823;2023-08-23;8;Agosto;2023;3;3;Miércoles
20230824;2023-08-24;8;Agosto;2023;3;4;Jueves
20230825;2023-08-25;8;Agosto;2023;3;5;Viernes
20230826;2023-08-26;8;Agosto;2023;3;6;Sábado
20230827;2023-08-27;8;Agosto;2023;3;7;Domingo
20230828;2023-08-28;8;Agosto;2023;3;1;Lunes
20230829;2023-08-29;8;Agosto;2023;3;2;Martes
20230830;2023-08-30;8;Agosto;2023;3;3;Miércoles
20230831;2023-08-31;8;Agosto;2023;3;4;Jueves
20230901;2023-09-01;9;Septiembre;2023;3;5;Viernes
20230902;2023-09-02;9;Septiembre;2023;3;6;Sábado
20230903;2023-09-03;9;Septiembre;2023;3;7;Domingo
20230904;2023-09-04;9;Septiembre;2023;3;1;Lunes
20230905;2023-09-05;9;Septiembre;2023;3;2;Martes
20230906;2023-09-06;9;Septiembre;2023;3;3;Miércoles
20230907;2023-09-07;9;Septiembre;2023;3;4;Jueves
20230908;2023-09-08;9;Septiembre;2023;3;5;Viernes
20230909;2023-09-09;9;Septiembre;2023;3;6;Sábado
20230910;2023-09-10;9;Septiembre;2023;3;7;Domingo
20230911;2023-09-11;9;Septiembre;2023;3;1;Lunes
20230912;2023-09-12;9;Septiembre;2023;3;2;Martes
20230913;2023-09-13;9;Septiembre;2023;3;3;Miércoles
20230914;2023-09-14;9;Septiembre;2023;3;4;Jueves
20230915;2023-09-15;9;Septiembre;2023;3;5;Viernes
20230916;2023-09-16;9;Septiembre;2023;3;6;Sábado
20230917;2023-09-17;9;Septiembre;2023;3;7;Domingo
20230918;2023-09-18;9;Septiembre;2023;3;1;Lunes
20230919;2023-09-19;9;Septiembre;2023;3;2;Martes
20230920;2023-09-20;9;Septiembre;2023;3;3;Miércoles
20230921;2023-09-21;9;Septiembre;2023;3;4;Jueves
20230922;2023-09-22;9;Septiembre;2023;3;5;Viernes
20230923;2023-09-23;9;Septiembre;2023;3;6;Sábado
20230924;2023-09-24;9;Septiembre;2023;3;7;Domingo
20230925;2023-09-25;9;Septiembre;2023;3;1;Lunes
20230926;2023-09-26;9;Septiembre;2023;3;2;Martes
20230927;2023-09-27;9;Septiembre;2023;3;3;Miércoles
